,DOI,Dates
0,10.1016/S2468-2667(21)00006-2,
1,10.1364/OE.414972,
2,10.1029/2020MS002107,
3,10.1128/MRA.00297-20 ,
4,10.1038/s41598-021-82420-z,2021-01-29
5,10.1038/s41598-021-83489-2,2021-02-17
6,10.3389/fmed.2021.640073,2021
7,10.3389/fpubh.2020.608765,2021
8,10.1371/journal.pone.0230544,"Dec 30, 2020"
9,10.1186/s12954-021-00460-0,2021/12
10,10.3390/ijerph18010076,2021/1
11,10.3390/microorganisms9010013,2021/1
12,10.3389/fcimb.2021.619081,2021
13,10.1128/MRA.00515-20,
14,10.1038/s41598-021-83236-7,2021-02-12
15,10.5772/intechopen.95450,2021/01/14
16,10.1364/OE.416290,
17,10.339/fimmu.2021.643153,
18,10.3390/biomedicines8120592,2020/12
19,10.1186/s13071-019-3742-y,2019/12
20,10.1371/journal.pcbi.1008629,"Jan 26, 2021"
21,10.1016/j.nmni.2019.100612,
22,10.1016/j.nmni.2019.100642,
23,10.1016/j.idcr.2020.e00899,
24,10.1016/j.nmni.2020.100745,
25,10.1016/j.ijid.2020.08.049,
26,10.1016/j.ijid.2020.09.1417,
27,10.1016/j.nmni.2020.100760,
28,10.1152/jn.00268.2020,
29,10.1038/s41598-020-79922-7,2021-01-12
30,10.1186/s12911-021-01427-8,2021/05
31,10.1128/MRA.01432-20,
32,10.1371/journal.pgen.1009284,"Jan 19, 2021"
33,10.1186/s13099-021-00404-w,2021/12
34,10.1371/journal.pone.0244538,"Dec 31, 2020"
35,10.1038/s41598-021-84641-8,2021-03-08
36,10.1038/s41598-021-83339-1,2021-02-19
37,10.1080/19490976.2021.1884515,
38,10.1182/blood.2020008997,
39,10.3390/pathogens10020240,2021/2
40,10.1016/j.nbd.2020.105235,
41,10.1038/s41598-021-84581-3,2021-03-04
42,10.3390/microorganisms8122018,2020/12
43,10.1128/MRA.00513-20,
44,10.1371/journal.pone.0246192 ,"Feb 18, 2021"
45,10.1371/journal.pcbi.1008726,"Mar 4, 2021"
46,10.1007/s10115-021-01544-w,2021/05
47,10.1186/s12879-021-05895-1,2021/12
48,10.3390/ijerph18052611,2021/1
49,10.3390/microorganisms9020442,2021/2
50,10.1038/s41598-021-85856-5,2021-03-23
51,10.3390/biomedicines9030228,2021/3
52,10.1016/j.nmni.2021.100844,
53,10.1016/j.nmni.2021.100850,
54,10.1371/journal.pcbi.1008689,"Feb 17, 2021"
55,10.1016/j.nmni.2019.100623,
56,10.1073/pnas.2019355118,
57,10.1007/s10579-021-09528-6,2021/09
58,10.1016/j.tmaid.2021.101980,
59,10.1038/s41597-021-00873-3,2021-03-23
60,10.3390/cancers13061294,2021/1
61,10.339/fphys.2021.663677,
62,10.3390/cancers13061294,2021/1
63,10.3389/fmicb.2021.663815,2021
64,10.3390/cancers13061337,2021/1
65,10.1016/j.nmni.2021.100854,
66,10.1002/nop2.863,
67,10.1128/MRA.00053,
68,10.3390/jof7030228,2021/3
69,10.1103/PhysRevX.11.021017,2021/04/20
70,10.3390/s21062175,2021/1
71,10.3389/fnhum.2021.624026,2021
72,10.3390/microbiolres12020019,2021/6
73,10.1016/j.nmni.2020.100702,
74,10.1016/j.nmni.2021.100863,
75,10.3390/cells10040795,2021/4
76,10.3390/ijms22073505,2021/1
77,10.1016/j.envint.2020.105809,
78,10.3389/fnhum.2021.635611,2021
79,10.2196/18593,2021-05-10
80,10.1038/s41598-021-87987-1,2021-04-22
81,10.1186/s12874-021-01273-2,2021/12
82,10.1186/s12913-021-06331-5,2021/12
83,10.1186/s12933-021-01237-2,2021/12
84,10.1073/pnas.2024121118,
85,10.3390/pathogens10040461,2021/4
86,10.3389/fimmu.2021.635521,2021
87,10.3390/microbiolres12020021,2021/6
88,10.1016/j.ijid.2021.03.090,
89,10.339/fnagi.2021.670166,
90,10.3390/pathogens10050516,2021/5
91,10.3390/jpm11050345,2021/5
92,10.3390/v13050768,2021/5
93,10.1371/journal.pone.0250823,"Sep 1, 2021"
94,10.3390/biomedicines9050566,2021/5
95,10.3390/antibiotics10050540,2021/5
96,10.3390/biom11050701,2021/5
97,10.3390/ijms22094316,2021/1
98,10.3389/fimmu.2021.667357,2021
99,10.3390/cancers13102473,2021/1
100,10.3390/ijms22115852,2021/1
101,10.3389/fmed.2021.691095,2021
102,10.1093/database/baab032,
103,10.1038/s43246-021-00166-7,2021-06-09
104,10.1371/journal.pone.0252443,"Jun 1, 2021"
105,10.1016/j.jbc.2021.100818,
106,10.1093/texcom/tgab038,
107,10.3389/fmars.2021.683528,2021
108,10.2196/27768 ,2021-07-19
109,10.1038/s41598-021-91798-9,2021-06-17
110,10.3390/vaccines9050521,2021/5
111,10.1093/texcom/tgab040,
112,10.1016/j.lssr.2021.03.001,
113,10.3390/s21123999,2021/1
114,10.3389/fenrg.2021.690161,2021
115,10.1097/MD.0000000000026511,
116,10.1016/j.nmni.2021.100906,
117,10.1007/s10875-021-01000-y,2021/07
118,10.3390/brainsci11060680,2021/6
119,10.1364/BOE.426627,
120,10.3390/atmos12070833,2021/7
121,10.1016/j.puhip.2021.100154,
122,10.1038/s41598-021-90562-3,2021-05-26
123,10.1371/journal.pone.0254232,"Jul 2, 2021"
124,10.12688/f1000research.51018.2,2022/04/21
125,10.1016/j.tmaid.2021.102105,
126,10.3390/jof7060433,2021/6
127,10.3390/ijms22147584,2021/1
128,10.3390/ma14154086,2021/1
129,10.1073/pnas.2100561118,
130,10.1029/2020MS002245,
131,10.1016/j.breast.2021.07.012,
132,10.3390/jof7070546,2021/7
133,10.3390/pathogens10091112,2021/9
134,10.3389/fmed.2021.737602,2021
135,10.3390/microorganisms9071544,2021/7
136,10.1371/journal.pcbi.1009263,"Aug 30, 2021"
137,10.1128/mSphere.00575,
138,10.3390/pathogens10050627,2021/5
139,10.1016/j.onehlt.2021.100293,
140,10.3390/pathogens10081042,2021/8
141,10.3389/fimmu.2021.698121,2021
142,10.3390/microorganisms9081751,2021/8
143,10.1016/j.jgar.2021.07.021,
144,10.3390/pathogens10080934,2021/8
145,10.3389/fneur.2021.674100,2021
146,10.3390/pharmaceutics13081245,2021/8
147,10.3390/cells10092305,2021/9
148,10.3390/v13071291,2021/7
149,10.1371/journal.pone.0255779,"Aug 11, 2021"
150,10.3389/fmicb.2021.675528,2021
151,10.3389/fimmu.2021.680146,2021
152,10.3389/fonc.2021.704945,2021
153,10.3390/diagnostics11091617,2021/9
154,10.3390/app11188316,2021/1
155,10.3389/fendo.2021.726967,2021
156,10.3390/biomedicines9070795,2021/7
157,10.1186/s13071-021-04950-9,2021/12
158,10.3390/electronics10182222,2021/1
159,10.1007/s10493-021-00629-z,2021/07
160,10.1371/journal.pntd.0009725,"Sep 13, 2021"
161,10.1038/S41380-021-01227-6,2021/12
162,10.1007/s11756-021-00789-8,2022/06
163,10.3389/fmed.2021.663708,2021
164,10.3389/fmars.2021.621822,2021
165,10.1038/s41377-021-00649-9,2021-10-07
166,10.3389/fphys.2021.743154,2021
167,10.5751/ES-12740-260426,2021/11/12
168,10.1128/MRA.00514-21,
169,10.1371/journal.pntd.0009813,"Sep 28, 2021"
170,10.3390/molecules26195809,2021/1
171,10.1016/j.nmni.2021.100939,
172,10.35248/2471-9315.21.7.211,
173,10.1038/s41598-021-99457-9,2021-10-08
174,10.1093/texcom/tgab057,
175,10.3390/app11209368,2021/1
176,10.1186/s12889-021-11716-6,2021/12
177,10.1085/jgp.202112871,
178,10.1085/jgp.202112871,
179,10.3390/jof7100855,2021/10
180,10.3389/fcvm.2021.761164,2021
181,10.31083/j.rcm2203116,2021/09/24
182,10.3390/jof7100824,2021/10
183,10.3390/ijerph182111153,2021/1
184,10.1093/nar/gkab996,
185,10.3389/fdgth.2021.684746,2021
186,10.1096/fj.202100976RR,
187,10.3390/nano11112979,2021/11
188,10.3390/microorganisms9112297,2021/11
189,10.3389/fped.2021.771467,2021
190,10.1016/j.envres.2021.112173,
191,10.2147/MDER.S328996,2021/11/24
192,10.1186/s12954-021-00551-y,2021/12
193,10.3390/v13112177 ,2021/11
194,10.1016/j.tmaid.2021.102183,
195,10.1128/MRA.00508-2,
196,10.339/fcell.2021.754555,
197,10.1038/s41467-021-26861-0,2021-11-18
198,10.3390/medicina57111227,2021/11
199,10.3390/diagnostics11112081,2021/11
200,10.3390/pathogens10111503,2021/11
201,10.3390/jof7110949,2021/11
202,10.1364/OE.444054,
203,10.1093/nargab/lqab114,
204,10.1186/s13071-021-05073-x,2021/12
205,10.1186/s12915-021-00955-z,2021/12
206,10.1080/07481187.2020.1851881,
207,10.18632/aging.202743,2021-03-02
208,10.1186/s12862-021-01866-x,2021/12
209,10.1186/s12974-021-02222-y,2021/12
210,10.1186/s12889-021-11752-2,2021/12
211,10.1002/jcsm.12835,
212,10.5194/bg-17-6271-2020,2020/12/14
213,10.14814/phy2.14711,
214,10.1038/s41467-020-20430-7,2021-01-05
215,10.3390/cells9112387,2020/11
216,10.3390/brainsci11010066,2021/1
217,10.3390/jcm9113726,2020/11
218,10.1002/2211-5463.13106,
219,10.1016/j.landusepol.2021.105354,
220,10.1038/s41598-021-84994-0,2021-03-11
221,10.3390/ijms22094724,2021/1
222,10.3390/M1221,2021/6
223,10.1016/j.jgar.2021.03.024,
224,10.1080/01426397.2021.1928033,
225,10.3390/ph14080724,2021/8
226,10.3390/molecules26164742,2021/1
227,10.1016/j.cub.2021.08.043,
